Product Name , Price ,Rating
Dell Inspiron 14 3000 Core i3 7th Gen - (4 GB/1 TB HDD/Linux) inspiron 3467 Laptop,Rs 26490,4
Dell Inspiron 15 3000 APU Dual Core A9 - (8 GB/1 TB HDD/Windows 10 Home) inspiron 3565 Laptop,Rs 29990,4.1
Dell Inspiron Pentium Quad Core - (4 GB/500 GB HDD/Ubuntu) 3552 Laptop,Rs 20990,4.1
Dell Vostro 15 3000 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) VOS 3578 Laptop,Rs 50990,4.2
Dell Inspiron 14 3000 Series Core i3 7th Gen - (4 GB/1 TB HDD/Linux) inspiron 3467 Laptop,Rs 26190,4.1
Dell Vostro 15 3000 Celeron Dual Core - (4 GB/1 TB HDD/Linux) 3568 Laptop,Rs 20990,4.2
Dell Inspiron 15 3567 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10) 3567 Laptop,Rs 33490,4
Dell Vostro 14 3000 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) 3478 Laptop,Rs 44990,4.2
Dell Vostro 14 3000 Core i5 8th Gen - (8 GB/1 TB HDD/Ubuntu) 3478 Laptop,Rs 42990,4.1
Dell Inspiron 15 5000 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) INSP 5570 Laptop,Rs 54483,4.3
Dell Inspiron 15 5000 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home) 5575 Laptop,Rs 48990,4.2
Dell Inspiron 15 3000 APU Dual Core E2 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3565 Laptop,Rs 22990,4
Dell Inspiron 15 3000 Pentium Quad Core - (4 GB/500 GB HDD/Windows 10 Home) 3552 Laptop,Rs 22990,4.1
Dell Vostro 15 3000 Core i5 8th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) VOS 3578 Laptop,Rs 48990,4.3
Dell Inspiron 15 3000 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3567 Laptop,Rs 33990,3.9
Dell Inspiron 15 5000 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 5575 Laptop,Rs 38990,4.3
Dell Inspiron 15 5000 Series Core i3 8th Gen - (4 GB + 16 GB Optane/1 TB HDD/Windows 10 Home) 5570 Lap...,Rs 44103,4.2
Dell Inspiron 15 3000 Series Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3576 Laptop,Rs 45989,2.8
Dell XPS 13 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) 9370 Thin and Light Laptop,Rs 101775,4.6
Dell G7 15 7000 Series Core i9 8th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics) G7-...,Rs 144990,4.6
Dell Inspiron 15 3000 APU Dual Core A6 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3565 Laptop,Rs 22990,3.8
Dell Inspiron 13 5000 Series Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 5378 2 in 1 Laptop,Rs 52990,3.6
Dell Vostro 15 3000 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3568 Laptop,Rs 30990,4.3
Dell Inspiron 15 3000 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3567 Laptop,Rs 38887,4
